ocel:eid,ocel:activity,ocel:timestamp,Actor,ocel:type:ocel:oid
580,pull,2017-04-06 15:41:00,asf github,['lburgazzoli']
581,request,2017-04-06 15:41:00,asf github,['request']
582,make,2017-04-06 15:41:00,asf github,['pull']
583,commit,2017-04-06 15:41:00,asf github,['request']
584,commit,2017-04-06 15:41:00,asf github,['request']
585,close,2017-04-06 15:41:00,asf github,['change']
586,commit,2017-04-06 15:41:00,asf github,['request']
587,pull,2017-04-07 15:38:00,asf github,['lburgazzoli']
588,request,2017-04-07 15:38:00,asf github,['pull']
589,affect,2017-04-06 16:22:00,thomas leber,['component']
590,get,2017-04-06 16:22:00,thomas leber,['input']
591,get,2017-04-06 16:24:00,thomas leber,['input']
592,get,2017-04-06 16:24:00,thomas leber,['input']
593,see,2017-04-07 09:00:00,,
594,comment,2017-04-07 11:21:00,,['comment']
595,see,2017-04-07 11:21:00,,['author']
596,see,2017-04-07 11:21:00,,['author']
597,work,2017-04-10 07:12:00,thomas leber,['file']
598,work,2017-04-10 07:12:00,thomas leber,['file']
599,work,,thomas leber,['file']
600,work,,thomas leber,['file']
601,pull,2017-04-06 19:02:00,asf github,['pull']
602,request,2017-04-06 19:02:00,asf github,['pull']
603,merge,2017-04-06 19:02:00,asf github,['bindycsvdataformatunquotetokens']
604,pull,2017-04-06 19:02:00,asf github,['pull']
605,request,2017-04-06 19:02:00,asf github,['pull']
606,pull,2017-04-06 19:02:00,asf github,['pull']
607,apply,2017-04-06 19:02:00,asf github,['review']
608,patch,2017-04-06 19:02:00,asf github,['change']
609,close,2017-04-06 19:02:00,asf github,['change']
610,pull,2017-04-06 19:02:00,asf github,['pull']
611,request,2017-04-06 19:02:00,asf github,['pull']
612,make,2017-04-06 19:02:00,asf github,['pull']
613,commit,2017-04-06 19:02:00,asf github,['request']
614,commit,2017-04-06 19:02:00,asf github,['request']
615,close,2017-04-06 19:02:00,asf github,['change']
616,commit,2017-04-06 19:02:00,asf github,['request']
617,fix,2017-04-09 07:58:00,claus ibsen,
618,pull,2017-04-09 07:58:00,asf github,['pull']
619,request,2017-04-09 07:58:00,asf github,['pull']
620,get,2017-04-07 08:16:00,claus ibsen,['warning']
621,patch,2017-04-07 08:16:00,claus ibsen,['option']
622,use,2017-04-07 08:16:00,claus ibsen,['model']
623,find,2017-04-07 08:16:00,claus ibsen,['documentation']
624,find,2017-04-07 08:16:00,claus ibsen,['documentation']
625,find,2017-04-07 08:16:00,claus ibsen,['documentation']
626,find,2017-04-07 08:16:00,claus ibsen,['documentation']
627,find,2017-04-07 08:16:00,claus ibsen,['documentation']
628,find,2017-04-07 08:16:00,claus ibsen,['documentation']
629,find,2017-04-07 08:16:00,claus ibsen,['documentation']
